date,2021,2022,2023,2024,2025
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,0,,0,
165,,0,,0,
166,,0,,0,
167,,0,0,0,
168,,0,0,0,
169,,0,0,0,
170,,0,0,0,
171,0,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0,0
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,0,0,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0,0
201,0,0,0,0,0
202,0,0,0,0,0
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,0
206,0,0,0,0,0
207,0,0,0,0,0
208,0,0,0,0,0
209,0,0,0,0,0
210,0,0,0,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,0,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0,0
225,0,0,0,0,0
226,0,0,0,0,0
227,0,0,0,0,0
228,0,0,0,0,0
229,0,0,0,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,7,0
237,0,0,0,13,
238,0,0,0,0,
239,0,0,0,0,
240,0,0,0,0,
241,0,0,0,0,
242,0,0,0,0,
243,0,0,0,0,
244,7,0,0,0,
245,0,0,0,40,
246,0,0,0,31,
247,0,0,0,12,
248,0,0,0,0,
249,0,0,0,-1,
250,0,0,0,11,0
251,0,0,0,23,26
252,0,0,0,68,38
253,39,93,0,111,21
254,13,100,0,178,14
255,25,93,0,85,17
256,37,91,0,182,66
257,128,53,0,122,40
258,117,1,0,77,40
259,133,26,0,91,42
260,137,119,0,141,51
261,153,86,0,159,32
262,410,86,0,300,13
263,203,300,77,234,16
264,39,131,45,419,75
265,0,18,123,668,68
266,55,-13,84,63,310
267,18,42,193,144,130
268,145,44,276,492,221
269,244,30,857,247,372
270,1238,7,770,607,460
271,601,34,408,1103,391
272,408,44,207,1082,728
273,627,35,249,844,756
274,315,71,147,991,914
275,327,61,95,226,220
276,297,136,76,150,220
277,154,93,222,628,133
278,87,60,167,413,60
279,251,76,23,259,119
280,396,162,-2,141,459
281,278,382,-11,102,293
282,198,288,,328,195
283,437,,,386,189
284,360,,,294,130
285,279,,,,57
286,118,,,,
